jd,RA,Decl,magsky
2453268.79,14.19525,0.64191667,22.5343735935
2453268.79,14.32083333,0.61352778,22.5512070346
2453279.78,14.19525,0.64191667,19.033637982
2453279.78,14.32083333,0.61352778,19.0288864332
2453281.7,14.19525,0.64191667,20.3841253174
2453281.7,14.32083333,0.61352778,20.3782278578
2453301.71,14.19525,0.64191667,19.9785829111
2453301.71,14.32083333,0.61352778,19.9506052268
2453327.65,14.19525,0.64191667,21.389795237
2453327.65,14.32083333,0.61352778,21.3632106221
2453328.68,14.19525,0.64191667,20.7515190033
2453328.68,14.32083333,0.61352778,20.7480052942
2453337.61,14.19525,0.64191667,19.4107260918
2453337.61,14.32083333,0.61352778,19.3984964488
2453250.71,14.19525,0.64191667,18.1733367685
