,jd,RA,Decl,magsky
247,2455972.72,102.970875,-0.36694444,21.2046714313
248,2455972.72,103.00783333,-0.45597222,21.1070519734
249,2455972.72,103.01404167,-0.45508333,21.1244799615
250,2455972.72,103.02004167,-0.36541667,21.3077749052
251,2455972.72,103.04141667,-0.39219444,21.2871720032
252,2455972.72,103.078625,-0.39241667,21.3632469194
253,2455973.7,102.970875,-0.36694444,22.9229424638
254,2455973.7,103.00783333,-0.45597222,22.4529662197
255,2455973.7,103.01404167,-0.45508333,22.4529662197
256,2455973.7,103.02004167,-0.36541667,23.5886122029
257,2455973.7,103.04141667,-0.39219444,25.6208955789
258,2455985.68,103.00783333,-0.45597222,22.15186688
259,2455985.68,103.01404167,-0.45508333,22.1099412949
260,2455985.68,103.04141667,-0.39219444,22.930396934
261,2455985.68,103.078625,-0.39241667,23.2544815672
262,2456018.56,103.00783333,-0.45597222,19.9317697914
263,2456018.56,103.01404167,-0.45508333,19.9500178415
264,2456018.56,103.04141667,-0.39219444,20.0066778992
265,2456018.56,103.078625,-0.39241667,19.9938287507
266,2456019.62,102.970875,-0.36694444,19.5057218445
267,2456019.62,103.00783333,-0.45597222,19.4889787148
268,2456019.62,103.01404167,-0.45508333,19.4933216268
269,2456019.62,103.02004167,-0.36541667,19.5093960962
270,2456019.62,103.04141667,-0.39219444,19.5108693137
271,2456019.62,103.078625,-0.39241667,19.5242186495
272,2456221.8,102.970875,-0.36694444,22.7512302623
273,2456221.8,103.00783333,-0.45597222,22.2089114867
274,2456221.8,103.01404167,-0.45508333,22.2758943648
275,2456221.8,103.02004167,-0.36541667,22.9339979321
276,2456221.8,103.04141667,-0.39219444,22.736044817
277,2456221.8,103.078625,-0.39241667,23.6509718583
278,2456223.74,102.970875,-0.36694444,21.4168478699
279,2456223.74,102.995875,-0.35877778,21.4725389134
280,2456223.74,103.00783333,-0.45597222,21.313366157
281,2456223.74,103.01404167,-0.45508333,21.3552917421
282,2456223.74,103.02004167,-0.36541667,21.4630564498
283,2456223.74,103.04141667,-0.39219444,21.5162657019
284,2456223.74,103.078625,-0.39241667,21.5566699331
285,2456231.78,102.970875,-0.36694444,19.0089224722
286,2456231.78,103.00783333,-0.45597222,18.9889911425
287,2456231.78,103.01404167,-0.45508333,18.9904372173
288,2456231.78,103.02004167,-0.36541667,19.0128545189
289,2456231.78,103.04141667,-0.39219444,19.0327312332
290,2456231.78,103.078625,-0.39241667,19.0342366996
291,2455889.72,103.00783333,-0.45597222,22.2984125688
292,2455889.72,103.01404167,-0.45508333,22.2718218075
293,2455889.72,103.04141667,-0.39219444,22.7076808197
294,2455883.81,133.141875,-0.6635,20.1614205803
295,2455905.75,133.141875,-0.6635,18.6938345393
296,2455910.81,133.141875,-0.6635,19.2792533545
297,2455943.86,133.141875,-0.6635,21.3779985635
298,2455944.74,133.141875,-0.6635,22.2711936348
299,2455961.82,133.141875,-0.6635,22.3786650414
300,2455964.81,133.141875,-0.6635,17.4373382533
301,2455968.82,133.141875,-0.6635,18.8440323741
302,2455972.77,133.141875,-0.6635,21.275005956
303,2455993.6,133.141875,-0.6635,18.5593059421
304,2455994.59,133.141875,-0.6635,18.0878746656
305,2455996.49,133.141875,-0.6635,16.0647446238
306,2455998.49,133.141875,-0.6635,16.3230249214
307,2455999.49,133.141875,-0.6635,16.7115136831
308,2456004.66,133.141875,-0.6635,22.6285137499
309,2456232.82,133.141875,-0.6635,19.3455583786
310,2456234.83,133.141875,-0.6635,19.6849765927
311,2455899.84,133.39779167,-0.61138889,22.6691991649
312,2455899.84,133.477125,-0.53944444,23.0513527663
313,2455900.8,133.39779167,-0.61138889,22.7595864952
314,2455900.8,133.477125,-0.53944444,22.9905432047
315,2455902.73,133.39779167,-0.61138889,19.8540949396
316,2455902.73,133.477125,-0.53944444,19.8708777394
317,2455904.73,133.39779167,-0.61138889,19.0704896727
318,2455904.73,133.477125,-0.53944444,19.0879021971
319,2455915.86,133.39779167,-0.61138889,20.2784984276
320,2455915.86,133.477125,-0.53944444,20.2722306777
321,2455917.83,133.39779167,-0.61138889,22.6512498324
322,2455917.83,133.477125,-0.53944444,22.6219829618
323,2455932.78,133.39779167,-0.61138889,20.5417803224
324,2455932.78,133.477125,-0.53944444,20.5975409995
325,2455943.71,133.39779167,-0.61138889,21.9446803393
326,2455943.71,133.477125,-0.53944444,22.1516118847
327,2455944.69,133.39779167,-0.61138889,22.7805662158
328,2455944.69,133.477125,-0.53944444,22.9136799596
329,2455956.86,133.39779167,-0.61138889,22.4509992337
330,2455956.86,133.477125,-0.53944444,22.5289830267
331,2455986.76,133.39779167,-0.61138889,22.6081990562
332,2455986.76,133.477125,-0.53944444,22.6822552235
333,2455993.51,133.39779167,-0.61138889,18.4074623621
334,2455993.51,133.477125,-0.53944444,18.4133195085
335,2455994.5,133.39779167,-0.61138889,18.0681621493
336,2455994.5,133.477125,-0.53944444,18.0648987573
337,2455995.51,133.39779167,-0.61138889,18.6386293872
338,2455995.51,133.477125,-0.53944444,18.645759873
339,2456000.78,133.39779167,-0.61138889,20.0771047086
340,2456000.78,133.477125,-0.53944444,20.0747431867
341,2456005.72,133.39779167,-0.61138889,22.6911044385
342,2456005.72,133.477125,-0.53944444,22.9779033653
343,2456008.59,133.39779167,-0.61138889,22.9085762387
344,2456008.59,133.477125,-0.53944444,22.9006799482
345,2456053.56,133.39779167,-0.61138889,18.3804690273
346,2456053.56,133.477125,-0.53944444,18.3830829994
347,2456232.83,133.39779167,-0.61138889,19.4076755353
348,2456232.83,133.477125,-0.53944444,19.4191150738
349,2455956.87,249.449125,-0.55141667,21.1986050226
350,2455960.87,249.449125,-0.55141667,22.4445845458
351,2455961.88,249.449125,-0.55141667,20.8130160167
352,2455985.87,249.449125,-0.55141667,22.3632387586
353,2455995.76,249.449125,-0.55141667,18.299251873
354,2455996.77,249.449125,-0.55141667,18.6216579028
355,2455998.89,249.449125,-0.55141667,19.6936314574
356,2456014.8,249.449125,-0.55141667,22.4742742031
357,2456019.9,249.449125,-0.55141667,22.5854056182
358,2456032.84,249.449125,-0.55141667,21.8399470608
359,2456034.83,249.449125,-0.55141667,22.4445327914
360,2456036.82,249.449125,-0.55141667,22.2480783648
361,2455960.88,249.449125,-0.55141667,21.6838006734
362,2456012.8,266.02825,-0.41605556,22.5041867018
363,2456012.8,266.05108333,-0.34241667,22.639261822
364,2456023.86,266.333125,-0.431,19.1836078112
365,2456023.86,266.426875,-0.35983333,19.2039539781
366,2456024.83,266.333125,-0.431,18.8053184065
367,2456024.83,266.426875,-0.35983333,18.8209239982
368,2456032.85,266.333125,-0.431,21.6048278126
369,2456032.85,266.426875,-0.35983333,21.7782434458
370,2456034.86,266.333125,-0.431,22.225508493
371,2456034.86,266.426875,-0.35983333,22.5049063606
372,2456036.86,266.333125,-0.431,22.2064764819
373,2456036.86,266.426875,-0.35983333,22.5861299379
374,2456048.85,266.333125,-0.431,22.1766133802
375,2456048.85,266.426875,-0.35983333,22.4344468079
376,2456058.87,266.333125,-0.431,20.3058529886
377,2456058.87,266.426875,-0.35983333,20.2949877487
378,2455865.51,280.747125,0.51927778,20.9325705157
379,2455865.51,280.7605,0.51586111,20.9445084075
380,2455865.51,280.78195833,0.46716667,20.9260602988
381,2455865.51,280.79216667,0.46186111,20.9373300239
